ID	C_1	C_2	C_3	C_4	C_5	C_6	C_7	C_8	C_9	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	HCC_1	HCC_2	HCC_3	HCC_4	HCC_5	HCC_6	HCC_7	HCC_8	HCC_9	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HCC_16	HCC_17	HCC_18	HCC_19
P08185	12857.69761	4346.923631	8407.636937	7705.107569	7206.266391	14999.87976	5428.375374	12300.1125	8658.008134	8933.950001	10432.38018	4954.270273	3590.294611	5030.128047	5018.448089	3834.311684	3784.950333	4147.558996	8206.621073	6881.677217	4321.63932	5374.536341	1346.987836	15569.04899	11209.14391	3193.103099	4243.458036	1652.597075	9982.030739	12473.02029	8952.015677	6461.022316	1328.528145	6105.137952	3193.290047	13411.80499	3525.155399	8655.725611
Q9NP79	8223.119243	4045.28507	10577.19278	14497.48777	13653.96122	8045.851895	2478.434363	6621.559876	1943.126074	8105.289809	6338.035406	6689.834244	5273.619377	6317.828517	5027.159844	8690.041306	5675.440116	8424.810364	4783.082849	9367.88543	7727.293359	5684.914768	11139.25612	7735.99512	11868.51666	2819.119384	2887.951821	719.9563233	5049.548337	9423.616115	3379.510725	5015.104765	8192.736583	0	11464.69247	3735.047281	6481.591657	10036.01914
Q99459	9508.737097	6371.454777	8272.609526	11710.87352	6974.226071	5256.496344	6928.865494	6963.697876	6772.441651	5612.992246	4783.394665	3334.059848	7824.266159	4505.034179	5446.397077	9754.039063	6320.231581	7332.502411	7012.576445	5109.372613	3906.609826	4621.570973	4637.156231	6822.512226	4831.583182	6767.053241	6395.02438	5468.716466	3400.953193	3434.0735	4400.242333	9002.387153	3115.91397	8800.715721	12015.32168	10261.76447	8879.294624	9830.699811
P05388	443608.2805	313211.7228	242664.8081	244365.1123	260033.7511	400527.5006	275302.3575	431169.8532	371470.3012	238289.5702	215451.3275	239109.1715	257574.7561	270058.0894	255519.7181	223536.1117	196386.5307	234167.0847	284477.4017	347103.5524	293939.5941	294213.1992	269983.4811	153478.2242	237347.7696	446047.7602	299723.7767	473965.755	245538.5731	255296.4939	405663.815	309995.0598	287400.4411	438331.7333	388288.2357	253453.9583	202557.1318	387526.9831
P61970	37694.54802	32583.35253	38503.02541	33741.63927	32608.09002	25949.04443	28592.47236	27137.95119	27195.65239	15514.09862	23114.38409	13920.90921	20874.53586	18300.26568	23834.05376	18634.91302	16924.45638	18516.32034	23621.01225	70528.86476	29754.84593	22684.93704	20677.33916	19939.49593	26091.62397	24079.5128	28739.08048	30766.70261	57823.24196	16764.62028	17527.4	22062.07944	16590.40562	47379.485	31257.1682	26540.63709	17925.27318	47331.17205
P08727	209797.1531	69305.00504	45876.20483	207465.2199	54508.2775	174054.9216	105402.7015	100113.1612	79098.29872	48880.17139	82148.7389	45320.26351	55137.68549	105779.11	56803.38629	58702.03939	135629.2351	49106.87414	52069.57605	30943.4709	18923.44111	32976.32502	27275.58775	39446.04998	23638.15613	25616.31059	25313.15569	23015.83955	2166936.358	36433.10948	68617.20877	40892.98489	46959.01887	23901.70592	31840.40038	2240982.595	46767.9467	80252.21863
P68036	143039.9243	86193.11945	54774.68581	80164.68847	91209.25497	162530.4229	92392.54029	150978.8349	150027.9784	99744.64527	75961.34803	83132.70654	99297.44066	86050.12772	108876.5794	94820.73659	78756.044	79018.87746	83319.5741	122935.3617	81165.63337	216101.6528	104528.5403	62689.26627	44645.28816	146196.6966	117970.9519	136262.7317	246675.0698	92607.76897	141820.97	79175.808	111090.9087	123979.2232	105535.4834	94527.64174	80438.604	241284.3108
Q99798	639261.3738	1062129.92	1118565.628	1150322.409	1028466.854	540981.7902	956028.9617	903107.4505	1239037.963	894750.5797	988442.3793	1088605.838	1086070.175	1093456.803	967212.4356	1109009.553	1505470.878	1508660.497	1139261.176	3258635.256	446041.9214	777468.5706	523587.7045	1276446.548	1861794.176	1167568.421	1242394.542	1060528.078	890136.7836	1880499.1	2058887.743	994030.6391	946149.9841	733690.1698	2331790.122	888369.8196	1390214.378	4203963.424
P20591	2562.923761	2235.177643	1567.090753	81673.62787	3158.560174	2083.465496	1350.54872	1286.261736	2454.24056	993.7725295	1630.220157	1529.94734	3010.593544	751.4462165	9702.384911	7722.515143	1501.167863	2030.542464	2528.348156	806.3927718	499.9717316	2524.354886	63895.01	3111.259635	1644.704941	16337.95426	930.5451621	1413.572075	2047.707019	2795.718489	906.051769	4952.916638	1225.499205	27374.08168	7738.547293	10551.1854	1780.623652	15602.85065
P07237	8516132.107	6355273.401	8501528.381	8284475.797	9543179.837	9565451.426	5614860.996	8229649.418	6667826.836	6837849.263	7254118.085	5246292.229	6807190.994	5689133.425	5900126.256	5928982.001	6724283.666	7732965.307	7882202.044	7969948.108	7010432.778	7826600.393	8848443.323	6023212.584	6110032.87	3331004.163	5869984.076	4868500.133	5242165.989	15870639.91	5444330.169	6234947.011	6702383.286	9535768.532	4889084.07	5301560.166	6270247.039	7255330.746
Q13405	4661.126516	1339.738366	844.7234486	2221.987656	2393.933904	3812.454548	1640.37099	1462.679271	2550.573575	637.2862609	862.2984238	832.5383894	662.6941107	1253.657224	869.2924288	502.9139736	416.0352497	615.2083368	1296.131645	2258.072358	1755.893936	937.1329201	829.7712108	301.3849728	3439.422012	6249.74595	2388.179433	2738.304246	1282.236124	734.3947134	5254.506614	1564.312633	1190.504268	3531.688711	4837.97554	919.3288775	172.1264693	3091.919284
O60656	1404.77769	14402.94741	29180.27473	17836.34226	2122.994707	2179.704464	8450.795361	888.3195992	949.0591745	2188.448501	9338.459178	5000.581551	6293.902868	3135.567892	14222.48185	2291.196776	8730.566439	11446.6037	2012.955515	2172.156185	6590.122301	1973.412866	3355.79093	7188.726762	2742.977298	3082.900319	4055.19197	10374.61857	2726.840581	4239.25133	1526.053727	1799.413231	7948.721408	1042.701991	2183.925805	9317.259589	2090.172318	1437.239248
Q8TEY5	19542.54601	52021.70387	27351.36167	57258.67679	32607.46878	93812.75095	30423.59137	86063.66464	82352.98383	10461.2487	23422.00438	49778.39724	56454.8403	47931.17439	87162.69658	49138.43902	32081.94124	10415.79671	35230.60014	11833.70214	6511.964557	44064.26087	43016.91178	131995.3629	29689.5438	11833.71313	9556.448224	14133.32782	37166.07499	5706.921151	11237.27965	41339.04281	23849.18018	34195.16146	10208.73808	143361.3837	94386.35038	145928.7909
P02753	815921.7154	241665.2772	168740.7383	222784.3163	450718.8988	945176.9653	266129.4879	632872.8278	715055.803	658938.2984	452745.0858	559261.6742	512211.7493	461570.5466	249446.8499	469962.6164	576918.796	343334.842	397450.3004	390486.9412	671074.7765	528283.9882	1601189.531	869826.2894	1393674.19	279281.1262	460477.3003	1902106.347	211442.9091	3220979.669	663581.4025	315130.3512	816217.7705	424598.9101	664556.5095	155526.6831	648209.9758	100917.9575
P62328	2025.354975	156.8873503	150.5857662	237.3307379	734.2359688	1454.126385	604.0774946	1201.029707	461.4989913	386.5595352	0	0	1036.56291	355.1668522	201.6878812	95.8959446	0	181.3797588	123.2647186	3324.545876	109.6027448	564.6787613	107.8417196	0	3544.602245	4617.57893	1335.614501	1561.372296	4084.092189	2.026741713	409.5203923	406.303254	843.1319968	832.0066538	1688.919551	2873.717084	0	3641.732752
Q92696	646.6272086	2199.834017	3513.70727	4100.308317	2468.480955	664.9162003	1489.442063	910.1624932	637.6157144	2615.442089	1306.601249	2730.887494	2554.491466	2106.396707	3064.694853	3393.695775	2402.698725	2181.144659	2947.220416	5151.376285	1071.032656	1503.027726	1502.20564	7636.476163	2855.304082	2826.73756	4314.254294	2594.318009	1639.709304	2185.465369	1485.923658	1772.28235	1962.072698	4323.170898	3977.333027	2986.486671	1233.755389	2661.741413
Q9UJY4	164.2253979	617.0300818	769.9965617	127.2712546	732.298398	70.7040429	0	295.515541	605.5880701	277.9423236	1008.262335	441.3601653	265.8277217	29.9360299	555.8166444	185.8316505	905.9539624	816.0845319	598.0279275	2972.261148	2443.42604	1977.838019	455.2026672	177.0959666	77.01337962	3607.69066	0.402998509	677.4448272	2852.308037	713.8677669	1009.531795	639.1147228	246.3210617	123.4521349	272.6041091	374.4834157	284.0448662	33348.34212
